# 14-generator South East Australian benchmark, Case 3
# Generated by build_sea_system.py from Gibbard & Vowles (2014).

# Bus initialization (Tables 8/9/12/14)
BusInit, bus = "102", p = 475, q = 50, type = "PQ"
BusInit, bus = "217", p = 1320, q = 140, type = "PQ"
BusInit, bus = "309", p = 230, q = 25, type = "PQ"
BusInit, bus = "205", p = 410, v = 1.02, type = "PV"
BusInit, bus = "206", p = 140, q = 15, type = "PQ"
BusInit, bus = "416", p = 0, q = 63.8711786, type = "PQ"
BusInit, bus = "207", p = 1975, q = 200, type = "PQ"
BusInit, bus = "212", p = 1740, q = 30.00468837, type = "PQ"
BusInit, bus = "215", p = 505, q = 50, type = "PQ"
BusInit, bus = "208", p = 220, q = 25, type = "PQ"
BusInit, bus = "209", p = 0, q = 0, type = "PQ"
BusInit, bus = "211", p = 1785, q = 79.34642231, type = "PQ"
BusInit, bus = "210", p = 0, q = 0, type = "PQ"
BusInit, bus = "213", p = 0, q = 0, type = "PQ"
BusInit, bus = "214", p = 0, q = 0, type = "PQ"
BusInit, bus = "216", p = 1930, q = 48.19711183, type = "PQ"
BusInit, bus = "303", p = 0, q = 0, type = "PQ"
BusInit, bus = "304", p = 0, q = 0, type = "PQ"
BusInit, bus = "305", p = 0, q = 0, type = "PQ"
BusInit, bus = "306", p = 1450, q = 150, type = "PQ"
BusInit, bus = "307", p = 770, q = 80, type = "PQ"
BusInit, bus = "308", p = 770, q = 80, type = "PQ"
BusInit, bus = "310", p = 0, q = 0, type = "PQ"
BusInit, bus = "311", p = 0, q = 0, type = "PQ"
BusInit, bus = "312", p = 140, q = 15, type = "PQ"
BusInit, bus = "313", p = 2840, v = 1.015, type = "PV"
BusInit, bus = "314", p = 300, q = 30, type = "PQ"
BusInit, bus = "315", p = 0, q = 0, type = "PQ"
BusInit, bus = "509", p = 100, v = 1.05, type = "PV"
BusInit, bus = "405", p = 1215, q = 120, type = "PQ"
BusInit, bus = "406", p = 905, q = 90, type = "PQ"
BusInit, bus = "408", p = 185, q = 20, type = "PQ"
BusInit, bus = "409", p = 310, q = -31.9742915, type = "PQ"
BusInit, bus = "407", p = 0, q = 0, type = "PQ"
BusInit, bus = "410", p = 650, q = 65, type = "PQ"
BusInit, bus = "411", p = 700, q = 40.02665484, type = "PQ"
BusInit, bus = "412", p = 1535, v = 1, type = "PV"
BusInit, bus = "413", p = 0, q = 0, type = "PQ"
BusInit, bus = "414", p = 0, q = 32.07104625, type = "PQ"
BusInit, bus = "415", p = 0, q = 64.21307055, type = "PQ"
BusInit, bus = "504", p = 300, q = 160.5648403, type = "PQ"
BusInit, bus = "507", p = 1100, v = 1.043, type = "PV"
BusInit, bus = "508", p = 800, q = 160, type = "PQ"
BusInit, bus = "505", p = 0, q = 0, type = "PQ"
BusInit, bus = "506", p = 0, q = 0, type = "PQ"
BusInit, bus = "101", p = -2979.6, v = 1.0, type = "PV"
BusInit, bus = "201", p = -3300, v = 1.0, type = "PV"
BusInit, bus = "202", p = -2350, v = 1.0, type = "PV"
BusInit, bus = "203", p = -450, v = 1.0, type = "PV"
BusInit, bus = "204", p = -3216, v = 1.0, type = "PV"
BusInit, bus = "301", p = 0, v = 1.0, type = "slack"
BusInit, bus = "302", p = -1272, v = 1.0, type = "PV"
BusInit, bus = "401", p = -1400, v = 1.0, type = "PV"
BusInit, bus = "402", p = -870, v = 1.0, type = "PV"
BusInit, bus = "403", p = -1400, v = 1.0, type = "PV"
BusInit, bus = "404", p = -1464, v = 1.0, type = "PV"
BusInit, bus = "501", p = -600, v = 1.0, type = "PV"
BusInit, bus = "502", p = -720, v = 1.0, type = "PV"
BusInit, bus = "503", p = -750, v = 1.0, type = "PV"

# Transmission lines (Table 10, parallel circuits aggregated)
Line, bus_i = "102", bus_j = "217", r = 0.0042, x = 0.03335, g = 0, b = 1.634, trafo = 1
Line, bus_i = "102", bus_j = "217", r = 0.0039, x = 0.031, g = 0, b = 1.52, trafo = 1
Line, bus_i = "102", bus_j = "309", r = 0.00225, x = 0.0178, g = 0, b = 0.874, trafo = 1
Line, bus_i = "102", bus_j = "309", r = 0.0109, x = 0.0868, g = 0, b = 0.76, trafo = 1
Line, bus_i = "205", bus_j = "206", r = 0.0048, x = 0.038, g = 0, b = 1.862, trafo = 1
Line, bus_i = "205", bus_j = "416", r = 0.00185, x = 0.023, g = 0, b = 1.46, trafo = 1
Line, bus_i = "206", bus_j = "207", r = 0.00225, x = 0.0178, g = 0, b = 0.874, trafo = 1
Line, bus_i = "206", bus_j = "212", r = 0.0033, x = 0.02635, g = 0, b = 1.292, trafo = 1
Line, bus_i = "206", bus_j = "215", r = 0.0033, x = 0.02635, g = 0, b = 1.292, trafo = 1
Line, bus_i = "207", bus_j = "208", r = 0.0009, x = 0.007, g = 0, b = 0.342, trafo = 1
Line, bus_i = "207", bus_j = "209", r = 0.0008, x = 0.0062, g = 0, b = 0.076, trafo = 1
Line, bus_i = "208", bus_j = "211", r = 0.001033333333, x = 0.008266666667, g = 0, b = 0.912, trafo = 1
Line, bus_i = "209", bus_j = "212", r = 0.0045, x = 0.0356, g = 0, b = 0.437, trafo = 1
Line, bus_i = "210", bus_j = "213", r = 0.0005, x = 0.00725, g = 0, b = 3.08, trafo = 1
Line, bus_i = "211", bus_j = "212", r = 0.0007, x = 0.0054, g = 0, b = 0.266, trafo = 1
Line, bus_i = "211", bus_j = "214", r = 0.0019, x = 0.0155, g = 0, b = 0.19, trafo = 1
Line, bus_i = "212", bus_j = "217", r = 0.007, x = 0.0558, g = 0, b = 0.684, trafo = 1
Line, bus_i = "214", bus_j = "216", r = 0.001, x = 0.0077, g = 0, b = 0.095, trafo = 1
Line, bus_i = "214", bus_j = "217", r = 0.0049, x = 0.0388, g = 0, b = 0.475, trafo = 1
Line, bus_i = "215", bus_j = "216", r = 0.00255, x = 0.02015, g = 0, b = 0.988, trafo = 1
Line, bus_i = "215", bus_j = "217", r = 0.0036, x = 0.0287, g = 0, b = 1.406, trafo = 1
Line, bus_i = "216", bus_j = "217", r = 0.0051, x = 0.0403, g = 0, b = 0.494, trafo = 1
Line, bus_i = "303", bus_j = "304", r = 0.001, x = 0.014, g = 0, b = 1.48, trafo = 1
Line, bus_i = "303", bus_j = "305", r = 0.00055, x = 0.008, g = 0, b = 3.4, trafo = 1
Line, bus_i = "304", bus_j = "305", r = 0.0003, x = 0.004, g = 0, b = 0.424, trafo = 1
Line, bus_i = "305", bus_j = "306", r = 0.0002, x = 0.003, g = 0, b = 0.32, trafo = 1
Line, bus_i = "305", bus_j = "307", r = 0.00015, x = 0.00225, g = 0, b = 0.894, trafo = 1
Line, bus_i = "306", bus_j = "307", r = 0.0001, x = 0.0012, g = 0, b = 0.127, trafo = 1
Line, bus_i = "307", bus_j = "308", r = 0.00115, x = 0.01625, g = 0, b = 6.89, trafo = 1
Line, bus_i = "309", bus_j = "310", r = 0.0045, x = 0.03566666667, g = 0, b = 1.7481, trafo = 1
Line, bus_i = "310", bus_j = "311", r = 0, x = -0.01685, g = 0, b = 0, trafo = 1
Line, bus_i = "312", bus_j = "313", r = 0.002, x = 0.015, g = 0, b = 0.9, trafo = 1
Line, bus_i = "313", bus_j = "314", r = 0.0005, x = 0.005, g = 0, b = 0.52, trafo = 1
Line, bus_i = "315", bus_j = "509", r = 0.0035, x = 0.025, g = 0, b = 0.38, trafo = 1
Line, bus_i = "405", bus_j = "406", r = 0.00195, x = 0.02375, g = 0, b = 0.762, trafo = 1
Line, bus_i = "405", bus_j = "408", r = 0.0054, x = 0.05, g = 0, b = 0.189, trafo = 1
Line, bus_i = "405", bus_j = "409", r = 0.006, x = 0.04066666667, g = 0, b = 2.37, trafo = 1
